id,name,power,accuracy,pp,type_id,effect_chance,damage_class,effect,flavor_text
915,Temper Flare,75,100,10,10,,1,,"Spurred by desperation, the user attacks the target. This move's power is doubled if the user's previous move failed."
369,U Turn,70,100,20,7,,1,"Inflicts regular damage, then the user immediately switches out, and the trainer selects a replacement Pokémon from the party.  If the target faints from this attack, the user’s trainer selects the new Pokémon to send out first.  If the user is the last Pokémon in its party that can battle, it will not switch out.  The user may be hit by pursuit when it switches out, if it has been targeted and pursuit has not yet been used.  This move may be used even if the user is under the effect of ingrain.  ingrain’s effect will end.","After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
853,Axe Kick,120,90,10,2,,1,,"The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead."
754,Bolt Beak,85,100,10,13,,1,,"The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled."
24,Double Kick,30,100,30,2,,1,Inflicts regular damage.  Hits twice in one turn.,A double kicking attack.
849,Lunar Blessing,0,,5,14,,3,,The user heals its own status conditions and restores its HP. Incoming moves also become more likely to miss.
838,Headlong Rush,120,100,5,5,,1,,The user smashes into the target in a full-body tackle. This also lowers the user’s defensive stats.
468,Hone Claws,,,15,17,,3,Raises the user’s Attack and accuracy by one stage.,The user sharpens its claws to boost its Attack stat and accuracy.
101,Night Shade,,100,15,8,,2,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",The user's level equals damage HP.
143,Sky Attack,140,90,5,3,30,1,Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a $effect_chance% chance to make the target flinch.  This move cannot be selected by sleep talk.,1st turn: Prepare 2nd turn: Attack
173,Snore,50,100,15,1,30,2,Only usable if the user is sleeping.  Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,An attack useable only while asleep.
817,Wicked Blow,75,100,5,17,,1,Inflicts regular damage.,"The user, having mastered the Dark style, strikes the target with a fierce blow. This attack always results in a critical hit."
664,Sparkling Aria,90,100,10,11,,2,"Inflicts regular damage.  If the target has a burn and takes damage from this move, its burn is healed.","The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be healed by the touch of these bubbles."
85,Thunderbolt,90,100,15,13,10,2,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,An attack that may cause paralysis.
294,Tail Glow,,,20,7,,3,Raises the user’s Special Attack by three stages.,Flashes a light that sharply raises SP. ATK.
788,Grav Apple,80,100,10,12,100,1,Inflicts regular damage.  Lowers the target’s Defense by one stage.,The user inflicts damage by dropping an apple from high above. This also lowers the target’s Defense stat.
905,Electro Shot,130,100,10,13,,2,,"The user gathers electricity on the first turn, boosting its Sp. Atk stat, then fires a high-voltage shot on the next turn. The shot will be fired immediately in rain."
431,Rock Climb,90,85,20,1,20,1,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,A charging attack that may also leave the foe confused. It can also be used to scale rocky walls.
397,Rock Polish,,,20,6,,3,Raises the user’s Speed by two stages.,The user polishes its body to reduce drag. It can sharply raise the Speed stat.
669,Solar Blade,125,100,10,12,,1,"Inflicts regular damage.  User charges for one turn before attacking.  During sunny day, the charge turn is skipped.  During hail, rain dance, or sandstorm, power is halved.  This move cannot be selected by sleep talk.","In this two-turn attack, the user gathers light and fills a blade with the light’s energy, attacking the target on the next turn."
894,Comeuppance,1,100,10,17,,1,,The user retaliates with much greater force against the opponent that last inflicted damage on it.
876,Hydro Steam,80,100,15,11,,2,,The user blasts the target with boiling-hot water. This move's power is not lowered in harsh sunlight but rather boosted by 50 percent.
443,Magnet Bomb,60,,20,9,,1,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,The user launches a steel bomb that sticks to the target. This attack will not miss.
580,Grassy Terrain,,,10,12,,3,"For five turns, heals all Pokémon on the ground for 1/16 their max HP each turn and strengthens their grass moves to 1.5× their power.  Changes nature power to energy ball.",The user turns the ground under everyone’s feet to grass for five turns. This restores the HP of Pokémon on the ground a little every turn.
99,Rage,20,100,20,1,,1,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.",Raises ATTACK if the user is hit.
204,Charm,,100,20,18,,3,Lowers the target’s Attack by two stages.,Sharply lowers the foe's ATTACK.
236,Moonlight,,,5,18,,3,"Heals the user for half its max HP.  During sunny day, the healing is increased to 2/3 max HP.  During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",Restores HP (varies by time).
282,Knock Off,65,100,20,17,,1,"Inflicts regular damage.  Target loses its held item.  Neither the user nor the target can recover its item with recycle.  If the target has multitype or sticky hold, it will take damage but not lose its item.",Knocks down the foe’s held item to prevent its use.
550,Bolt Strike,130,85,5,13,20,1,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,"The user charges its target, surrounding itself with a great amount of electricity. It may leave the target with paralysis."
418,Bullet Punch,40,100,30,9,,1,Inflicts regular damage.,The user strikes with a tough punch as fast as a bullet. This move always goes first.
526,Work Up,,,30,1,,3,Raises the user’s Attack and Special Attack by one stage each.,"The user is roused, and its Attack and Sp. Atk stats increase."
427,Psycho Cut,70,100,20,14,,1,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,The user tears at the foe with blades formed by psychic power. It has a high critical-hit ratio.
533,Sacred Sword,90,100,15,2,,1,"Inflicts regular damage.  Damage calculation ignores the target’s stat modifiers, including evasion.",The user attacks by slicing with its long horns. The target’s stat changes don’t affect this attack’s damage.
677,Anchor Shot,80,100,20,9,,1,Inflicts regular damage.  Traps the target.,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
74,Growth,,,20,1,,3,"Raises the user’s Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",Raises the SPCL. ATK rating.
80,Petal Dance,120,100,10,12,,2,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.  safeguard does not protect against the confusion from this move.",Works 2-3 turns and confuses user.
377,Heal Block,,100,15,14,,3,"For the next five turns, the target may not use any moves that only restore HP, and move effects that heal the target are disabled.  Moves that steal HP may still be used, but will only inflict damage and not heal the target.",The user prevents the foe from using any HP-recovery moves for five turns.
133,Amnesia,,,20,14,,3,Raises the user’s Special Defense by two stages.,Sharply raises the user's SPCL.DEF.
718,Multi Attack,120,100,10,1,,1,"Inflicts regular damage.  If the user is holding a plate or a drive, this move’s type is the type corresponding to that item.  Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates.","Cloaking itself in high energy, the user slams into the target. The memory held determines the move’s type."
212,Mean Look,,,5,1,,3,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.  The target may still escape by using baton pass, u turn, or a shed shell.  Both the user and the target pass on this effect with baton pass.",Prevents fleeing or switching.
81,String Shot,,95,40,7,,3,Lowers the target’s Speed by two stages.,A move that lowers the foe's SPEED.
676,Pollen Puff,90,100,15,7,,2,"If the target is an opponent, inflicts regular damage.  If the target is an ally, heals the target for 50% of its max HP.","The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead."
128,Clamp,35,85,15,11,100,1,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.",Traps the foe for 2-5 turns.
258,Hail,,,10,15,,3,"Changes the weather to hail for five turns, during which non-ice Pokémon are damaged for 1/16 their max HP at the end of every turn.  If the user is holding icy rock, this effect lasts for eight turns.  blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.  moonlight, morning sun, and synthesis heal only 1/4 of the user’s max HP.  Pokémon with snow cloak are exempt from this effect’s damage.",Summons a hailstorm that strikes every turn.
434,Draco Meteor,130,90,5,16,100,2,"Inflicts regular damage, then lowers the user’s Special Attack by two stages.",Comets are summoned down from the sky. The attack’s recoil sharply reduces the user’s Sp. Atk stat.
879,Electro Drift,100,100,5,13,,2,,"The user races forward at ultrafast speeds, piercing its target with futuristic electricity. This move's power is boosted more than usual if it's a supereffective hit."
911,Tachyon Cutter,50,0,10,9,,2,,The user attacks by launching particle blades at the target twice in a row. This attack never misses.
681,Power Trip,20,100,10,17,,1,"Inflicts regular damage.  Power is increased by 100% its original value for every stage any of the user’s stats have been raised.  Accuracy, evasion, and lowered stats do not affect this move’s power.  For a Pokémon with all five stats modified to +6, this move’s power is 31×.","The user boasts its strength and attacks the target. The more the user’s stats are raised, the greater the move’s power."
125,Bone Club,65,85,20,5,10,1,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,An attack that may cause flinching.
13,Razor Wind,80,100,10,1,,2,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.  User charges for one turn before attacking.  This move cannot be selected by sleep talk.,1st turn: Prepare 2nd turn: Attack
112,Barrier,,,20,14,,3,Raises the user’s Defense by two stages.,Sharply increases user's DEFENSE.
615,Thousand Waves,90,100,10,5,,1,Inflicts regular damage.  Traps the target.,The user attacks with a wave that crawls along the ground. Those hit can’t flee from battle.
