pokedex_number,name,hp,attack,defense,sp_attack,sp_defense,speed,height,weight,flavor_text
1,Bulbasaur,45,49,49,65,65,45,0.7,6.9,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,Ivysaur,60,62,63,80,80,60,1.0,13.0,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,Venusaur,80,82,83,100,100,80,2.0,100.0,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,Charmander,39,52,43,60,50,65,0.6,8.5,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,Charmeleon,58,64,58,80,65,80,1.1,19.0,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,Charizard,78,84,78,109,85,100,1.7,90.5,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,Squirtle,44,48,65,50,64,43,0.5,9.0,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,Wartortle,59,63,80,65,80,58,1.0,22.5,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,Blastoise,79,83,100,85,105,78,1.6,85.5,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,Caterpie,45,30,35,20,20,45,0.3,2.9,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,Metapod,50,20,55,25,25,30,0.7,9.9,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,Butterfree,60,45,50,90,80,70,1.1,32.0,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,Weedle,40,35,30,20,20,50,0.3,3.2,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,Kakuna,45,25,50,25,25,35,0.6,10.0,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
15,Beedrill,65,90,40,45,80,75,1.0,29.5,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
16,Pidgey,40,45,40,35,35,56,0.3,1.8,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,Pidgeotto,63,60,55,50,50,71,1.1,30.0,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
18,Pidgeot,83,80,75,70,70,101,1.5,39.5,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,Rattata,30,56,35,25,35,72,0.3,3.5,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,Raticate,55,81,60,50,70,97,0.7,18.5,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
21,Spearow,40,60,30,31,31,70,0.3,2.0,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
22,Fearow,65,90,65,61,61,100,1.2,38.0,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
